,Pos,Team  T,Matches  M,Points  P,Rating  R
0,1,New Zealand  NZ,20,2448,122
1,2,England  ENG,32,3793,119
2,3,Australia  AUS,31,3475,112
3,4,India  IND,38,4162,110
4,5,South Africa  SA,31,3167,102
5,6,Pakistan  PAK,30,2921,97
6,7,Bangladesh  BAN,36,3350,93
7,8,Sri Lanka  SL,35,2835,81
8,9,West Indies  WI,36,2788,77
9,10,Afghanistan  AFG,23,1562,68
10,11,Ireland  IRE,28,1445,52
11,12,Scotland  SCO,10,452,45
12,13,Zimbabwe  ZIM,23,951,41
13,14,Netherlands  NED,13,459,35
14,15,UAE  UAE,20,651,33
15,16,Oman  OMA,24,720,30
16,17,Namibia  NAM,13,268,21
17,18,Nepal  NEP,17,308,18
18,19,United States  USA,14,232,17
19,20,Papua New Guinea  PNG,19,207,11
